window,psi_aggregate,psi_primary,psi_secondary,psi_labels,ks_p_primary,outlier_primary
1,0.025216331648453577,0.020678073167104957,0.04761983766406601,0.006030188881160673,0.5362766985932181,0.002
2,0.04772562956021762,0.05343714331774106,0.053801666093598564,0.014752846974488925,0.022438659451142425,0.003
3,0.04878734250051362,0.04284687679107222,0.08417205533496969,0.013574683947519109,0.0007213629171338913,0.005
4,0.07140279428717304,0.05646495340943376,0.12548836653669598,0.04101153738225862,0.0005028776494501317,0.002
5,0.13480450667602742,0.13181609930280266,0.20090795269252149,0.036585726141436355,1.71066707235859e-10,0.007
6,0.17685217402445505,0.19732600640723036,0.2126041316930998,0.03537024837894595,9.907298369738481e-18,0.01
7,0.17643561761067716,0.1716530325795838,0.24833966659387124,0.07572587609639383,5.032549473768586e-16,0.004
8,0.2616141662579452,0.2816532580071308,0.33337362265496384,0.061858705266172,1.8396077338375514e-25,0.009
9,0.24053237375751824,0.25349661324222406,0.3113494375045982,0.07064697624022834,8.66144540069212e-23,0.006
10,0.2978541425856778,0.3180626229665918,0.36978223831275236,0.09714006151689757,9.520860663442335e-27,0.012
11,0.35021720657214284,0.37031276776592326,0.42403353169736163,0.14680775325498963,1.640515093458319e-31,0.01
12,0.3620937430899982,0.39268340973872495,0.3902721148824605,0.1927711235076543,6.368984280614877e-36,0.015
